id,roads_length
3705_3_0_2,28473.0602197925
3705_3_0_3,31469.2892566293
3705_3_1_0_0,9153.35006169623
3705_3_1_0_1,17432.879826329
3705_3_1_0_2,22551.2545824762
3705_3_1_0_3,12519.9443298288
3705_3_1_1_0,26331.8999600409
3705_3_1_1_1_0,5454.00041173714
3705_3_1_1_1_1,6998.00421364509
3705_3_1_1_1_2,7458.57195924939
3705_3_1_1_1_3,8081.09560453516
3705_3_1_1_2,24544.9924765314
3705_3_1_1_3,21454.1646187111
3705_3_1_2_0,10565.6728658939
3705_3_1_2_1,22798.2677309736
3705_3_1_2_2,18835.6707386592
3705_3_1_2_3,20573.8095233714
3705_3_1_3,26689.4217737763
3705_3_2_0,25091.9706287214
3705_3_2_1,46010.3310906085
3705_3_2_2,68335.1195181281
3705_3_2_3,19915.4743242731
3705_3_3_0,24583.060045119
3705_3_3_1,26527.2538229085
3705_3_3_2,20026.6894102532
3705_3_3_3,19503.7732765631
3706_0_0_0,22243.3058386076
3706_0_0_1,23943.4670964244
3706_0_0_2,24361.5449400217
3706_0_0_3,30883.0694538712
3706_0_1_0,29553.4981792111
3706_0_1_1,29691.5281081892
3706_0_1_2,35687.4046470071
3706_0_1_3,21489.8838742398
3706_0_2_0,16750.0098115019
3706_0_2_1,36130.4311286544
3706_0_2_2,58681.4317590774
3706_0_2_3,39166.4500275754
3706_0_3_0,21057.7270250348
3706_0_3_1,14461.4607463575
3706_0_3_2,20360.5686891209
3706_0_3_3,32679.0447348269
3706_1_0_0,59662.7593633793
3706_1_0_1,40031.1886394219
3706_1_0_2,41904.6284504393
3706_1_0_3,41722.577536797
3706_1_1_0,31913.9365161292
3706_1_1_1,25715.2845795253
3706_1_1_2,32797.0116519519
3706_1_1_3,31384.034604427
3706_1_2,89826.5614821611
3706_1_3_0,26692.2569960712
3706_1_3_1,34172.2022452885
3706_1_3_2,28914.9568115724
3706_1_3_3,20934.634629077
3706_2_0,83607.0430335498
3706_2_1,91761.3995807884
3706_2_2,8881.27739675415
3706_2_3,68514.117796484
3706_3_0_0,47247.1170945356
3706_3_0_1,49039.3452744634
3706_3_0_2,40450.7376904808
3706_3_0_3,32869.9354275753
3706_3_1_0,34609.7272938113
3706_3_1_1,25472.7878049172
3706_3_1_2,58001.5716688145
3706_3_1_3,31234.7706269047
3706_3_2,154790.977679411
3706_3_3_0,48603.4793085148
3706_3_3_1,35733.4043666841
3706_3_3_2_0,10583.3237446581
3706_3_3_2_1,10550.2113811082
3706_3_3_2_2,7656.73694433858
3706_3_3_2_3,13997.6781968109
3706_3_3_3,26070.7379133552
3707_0_0,102163.975910895
3707_0_1,77235.7637172465
3707_0_2,80608.9013346277
3707_0_3,76531.2254540937
3707_1_0,87170.7361613893
3707_1_1,84903.2608848468
3707_1_2_0,29674.2272140461
3707_1_2_1,28021.9559751093
3707_1_2_2,24488.2014595479
3707_1_2_3,36636.74837223
3707_1_3_0,26398.0397516514
3707_1_3_1,21295.8176926704
3707_1_3_2,17464.3390671126
3707_1_3_3,13937.0053037704
3707_2_0_0,14095.5582782856
3707_2_0_1,40236.1070566052
3707_2_0_2,23805.8868032301
3707_2_0_3,18463.910593747
3707_2_1_0,20253.7371319612
3707_2_1_1,38699.6001546511
3707_2_1_2,18378.3984900574
3707_2_1_3,27633.4233435994
3707_2_2_0,35851.9033846194
3707_2_2_1,38312.4547252649
3707_2_2_2,37471.9076771775
3707_2_2_3,19461.9930275322
3707_2_3_0,33486.2733000021
3707_2_3_1,33437.4073285829
3707_2_3_2,35656.8073749032
3707_2_3_3,20792.3723894446
3707_3_0_0,30965.0372196935
3707_3_0_1,22322.0319790323
3707_3_0_2,26452.2046125416
3707_3_0_3,21603.8413386489
3707_3_1,82881.2568236958
3707_3_2_0,39242.1694037235
3707_3_2_1,22083.9927176579
3707_3_2_2,13475.2535258809
3707_3_2_3,19035.5243611442
3707_3_3_0,35189.2558233175
3707_3_3_1,26891.0118666304
3707_3_3_2,36118.412652893
3707_3_3_3,23926.4892022161
3708_0_2_2,16140.8250962087
3708_0_2_3,26717.0489053927
3708_0_3,117867.886373006
3708_1_2_2,25487.7818892751
3708_1_2_3,27037.9753628774
3708_1_3_2,21294.9371158001
3708_1_3_3,17132.3970468909
3708_2_0_0,18369.4746008087
3708_2_0_1,29578.8605361287
3708_2_0_2,50425.127551861
3708_2_0_3,25979.8317121835
3708_2_1_0,25951.7970024662
3708_2_1_1,26982.5634988285
3708_2_1_2,29725.0425542564
3708_2_1_3,45714.8397829159
3708_2_2,102938.250820732
3708_2_3,105277.153681014
3708_3_0_0,18096.2481967686
3708_3_0_1,42884.0378816666
3708_3_0_2_0,34156.8108945892
3708_3_0_2_1,12546.8997284923
3708_3_0_2_2,20263.0015038711
3708_3_0_2_3,31748.030566401
3708_3_0_3,37438.2301921958
3708_3_1_0,26989.0529229586
3708_3_1_1,13442.7076638216
3708_3_1_2,28601.4857951239
3708_3_1_3,31676.5708362787
3708_3_2_0,29116.1474856487
3708_3_2_1,31009.2036495439
3708_3_2_2,25107.8803885428
3708_3_2_3,29500.3285508582
3708_3_3_0,32180.1069256047
3708_3_3_1,36379.062337281
3708_3_3_2,25932.4004150766
3708_3_3_3,24263.3840098911
3717_1_2_2,21676.7572009742
3717_2_1_1,28928.0917576048
3717_2_1_2,29623.7520527937
3717_2_2,81028.9855106439
3718_1_1,76669.9444298827
3718_1_2,92438.0432866466
3718_2_1,92140.5991916344
3718_2_2,97513.3486909237
3729_1_1_1,31702.2176619563
3729_1_1_2_0,7799.21284998001
3729_1_1_2_1,10736.4193816997
3729_1_1_2_2,13607.2801430755
3729_1_1_2_3,12512.9877308233
3729_1_2_1,25677.9970259304
3729_1_2_2,27476.8526315918
3729_1_2_3,26263.5098546922
3729_2_1_0,16397.7361880804
3729_2_1_1,11467.6404899381
3729_2_1_2,17885.4128597771
3729_2_1_3,9687.6919061997
3729_2_2,55484.3659059512
3730_1_1,101497.751637744
3730_1_2,59300.4846771382
3730_2_1,62257.2467153631
3730_2_2,95309.1273895593
3733_1_1,88981.5592176959
3733_1_2,93355.2599301977
3733_2_1,36809.4020435776
3733_2_2,43776.8647603136
